Training Log for Latent LoRA Model (Layers 9-11)
==================================================
Generated on: 2025-04-19 18:17:20
==================================================

Model Configuration:
- Base Model: RoBERTa-base
- LoRA Rank: 8
- LoRA Alpha: 16
- LoRA Dropout: 0.1
- Target Modules: ['query', 'value']
- Layers Transformed: [9, 10, 11]

Training Progress:
--------------------------------------------------
Step	Train Loss	Eval Loss	Eval Accuracy
--------------------------------------------------
100	1.3899	0.4741	0.8734
200	1.3844	0.3022	0.9031
300	1.3707	0.2808	0.9062
400	1.3257	0.2671	0.9062
500	0.9671	0.2608	0.9078
600	0.4489	0.2317	0.9250
700	0.3747	0.2510	0.9172
800	0.3504	0.2301	0.9219
900	0.3173	0.2247	0.9297
1000	0.3245	0.2530	0.9281
1100	0.3165	0.2147	0.9297
1200	0.2848	0.2067	0.9313
1300	0.2764	0.1998	0.9359
1400	0.2713	0.2041	0.9359
1500	0.2785	0.2060	0.9328
1600	0.2798	0.2069	0.9297
1700	0.2552	0.1998	0.9359
1800	0.2785	N/A	N/A
1900	0.2306	N/A	N/A
2000	0.2661	N/A	N/A
2100	0.2571	N/A	N/A
2200	0.2496	N/A	N/A
2300	0.2500	N/A	N/A
2400	0.2680	N/A	N/A
2500	0.2618	N/A	N/A
2600	0.2442	N/A	N/A
2700	0.2016	N/A	N/A
2800	0.2520	N/A	N/A
2900	0.2441	N/A	N/A
3000	0.2451	N/A	N/A
3100	0.2330	N/A	N/A
3200	0.2326	N/A	N/A
3300	0.2520	N/A	N/A
3400	0.2502	N/A	N/A
3500	0.2320	N/A	N/A
3600	0.2303	N/A	N/A
3700	0.2345	N/A	N/A
3800	0.2566	N/A	N/A
3900	0.2229	N/A	N/A
4000	0.2522	N/A	N/A
4100	0.2199	N/A	N/A
4200	0.2337	N/A	N/A
4300	0.2183	N/A	N/A
4400	0.2330	N/A	N/A
4500	0.2456	N/A	N/A
4600	0.2142	N/A	N/A
4700	0.2349	N/A	N/A
4800	0.2084	N/A	N/A
4900	0.2196	N/A	N/A
5000	0.1930	N/A	N/A
5100	0.2155	N/A	N/A
5200	0.2255	N/A	N/A
5300	0.2266	N/A	N/A
5400	0.2396	N/A	N/A
5500	0.2123	N/A	N/A
5600	0.2072	N/A	N/A
5700	0.2197	N/A	N/A
5800	0.2026	N/A	N/A
5900	0.2054	N/A	N/A
6000	0.2304	N/A	N/A
6100	0.2147	N/A	N/A
6200	0.2052	N/A	N/A
6300	0.1790	N/A	N/A
6400	0.2305	N/A	N/A
6500	0.1954	N/A	N/A
6600	0.2277	N/A	N/A
6700	0.1972	N/A	N/A
6800	0.1962	N/A	N/A
6900	0.2232	N/A	N/A
7000	0.2031	N/A	N/A
7100	0.1944	N/A	N/A
7200	0.2079	N/A	N/A
7300	0.2238	N/A	N/A
7400	0.2323	N/A	N/A
7500	0.1964	N/A	N/A
7600	0.2206	N/A	N/A
7700	0.2096	N/A	N/A
7800	0.1874	N/A	N/A
7900	0.1847	N/A	N/A
8000	0.2045	N/A	N/A

Final Results:
--------------------------------------------------
Best Evaluation Accuracy: 0.9359
Best Evaluation Loss: 0.1998
Final Training Loss: 0.2045
